y,x,street_count,elevation,highway,ref,railway,geometry
-23.5329959,-46.6304588,3,730.7208862304688,,,,POINT (-46.6304588 -23.5329959)
-23.5331361,-46.6298869,3,729.8074340820312,,,,POINT (-46.6298869 -23.5331361)
-23.5334391,-46.6286499,3,726.796630859375,,,,POINT (-46.6286499 -23.5334391)
-23.5336726,-46.6277013,5,725.1702270507812,,,,POINT (-46.6277013 -23.5336726)
-23.5337755,-46.6266926,4,723.6958618164062,traffic_signals,,,POINT (-46.6266926 -23.5337755)
-23.5344638,-46.6245727,3,723.0281372070312,,,,POINT (-46.6245727 -23.5344638)
-23.5435588,-46.643753,1,749.3994140625,,,,POINT (-46.643753 -23.5435588)
-23.5388586,-46.6405847,4,743.1689453125,traffic_signals,,,POINT (-46.6405847 -23.5388586)
-23.5381939,-46.6410856,4,742.745361328125,traffic_signals,,,POINT (-46.6410856 -23.5381939)
-23.5364787,-46.6423288,4,743.2393188476562,traffic_signals,,,POINT (-46.6423288 -23.5364787)
-23.5363817,-46.6423975,4,743.233154296875,traffic_signals,,,POINT (-46.6423975 -23.5363817)
-23.5335858,-46.6444345,4,743.2394409179688,traffic_signals,,,POINT (-46.6444345 -23.5335858)
-23.5336778,-46.6445782,4,743.05322265625,traffic_signals,,,POINT (-46.6445782 -23.5336778)
-23.5347334,-46.6438245,4,744.58154296875,traffic_signals,,,POINT (-46.6438245 -23.5347334)
-23.5364993,-46.6425632,4,743.3944091796875,traffic_signals,,,POINT (-46.6425632 -23.5364993)
-23.5365922,-46.6424936,4,743.447998046875,traffic_signals,,,POINT (-46.6424936 -23.5365922)
-23.5375865,-46.6417441,4,742.7344970703125,traffic_signals,,,POINT (-46.6417441 -23.5375865)
-23.5382832,-46.6412219,4,742.9191284179688,traffic_signals,,,POINT (-46.6412219 -23.5382832)
-23.5389437,-46.6407262,4,743.2718505859375,traffic_signals,,,POINT (-46.6407262 -23.5389437)
-23.5357991,-46.6415781,4,742.1506958007812,traffic_signals,,,POINT (-46.6415781 -23.5357991)
-23.5370162,-46.6432917,3,744.2921142578125,,,,POINT (-46.6432917 -23.5370162)
-23.5375664,-46.6440776,4,745.5009155273438,traffic_signals,,,POINT (-46.6440776 -23.5375664)
-23.5380337,-46.6447443,4,745.85546875,traffic_signals,,,POINT (-46.6447443 -23.5380337)
-23.5385847,-46.6455205,4,745.233154296875,traffic_signals,,,POINT (-46.6455205 -23.5385847)
-23.5371085,-46.6432273,3,744.6078491210938,,,,POINT (-46.6432273 -23.5371085)
-23.5376579,-46.644009,4,745.4044799804688,traffic_signals,,,POINT (-46.644009 -23.5376579)
-23.5381228,-46.6446712,4,745.7702026367188,traffic_signals,,,POINT (-46.6446712 -23.5381228)
